fpr0,tpr0,fpr1,tpr1,fpr2,tpr2
0,0,0,0,0,0
0,0.002197802,0.002136752,0,0.001984127,0
0,0.032967033,0.002136752,0.020408163,0.003968254,0
0.016129032,0.032967033,0.004273504,0.020408163,0.003968254,0.076923077
0.016129032,0.098901099,0.004273504,0.040816327,0.011904762,0.076923077
0.032258065,0.098901099,0.010683761,0.040816327,0.011904762,0.153846154
0.032258065,0.118681319,0.010683761,0.081632653,0.033730159,0.153846154
0.048387097,0.118681319,0.012820513,0.081632653,0.033730159,0.230769231
0.048387097,0.184615385,0.012820513,0.12244898,0.035714286,0.230769231
0.064516129,0.184615385,0.014957265,0.12244898,0.035714286,0.307692308
0.064516129,0.237362637,0.014957265,0.163265306,0.067460317,0.307692308
0.080645161,0.237362637,0.017094017,0.163265306,0.067460317,0.461538462
0.080645161,0.252747253,0.017094017,0.204081633,0.083333333,0.461538462
0.096774194,0.252747253,0.02991453,0.204081633,0.083333333,0.538461538
0.096774194,0.347252747,0.02991453,0.224489796,0.10515873,0.538461538
0.112903226,0.347252747,0.034188034,0.224489796,0.10515873,0.615384615
0.112903226,0.389010989,0.034188034,0.244897959,0.156746032,0.615384615
0.129032258,0.389010989,0.038461538,0.244897959,0.156746032,0.692307692
0.129032258,0.410989011,0.038461538,0.265306122,0.273809524,0.692307692
0.14516129,0.410989011,0.044871795,0.265306122,0.273809524,0.769230769
0.14516129,0.446153846,0.044871795,0.306122449,0.380952381,0.769230769
0.161290323,0.446153846,0.064102564,0.306122449,0.380952381,0.846153846
0.161290323,0.47032967,0.064102564,0.346938776,0.533730159,0.846153846
0.177419355,0.47032967,0.068376068,0.346938776,0.533730159,0.923076923
0.177419355,0.492307692,0.068376068,0.387755102,0.712301587,0.923076923
0.193548387,0.492307692,0.083333333,0.387755102,0.712301587,1
0.193548387,0.512087912,0.083333333,0.408163265,1,1
0.209677419,0.512087912,0.121794872,0.408163265,,
0.209677419,0.569230769,0.121794872,0.428571429,,
0.241935484,0.569230769,0.134615385,0.428571429,,
0.241935484,0.591208791,0.134615385,0.448979592,,
0.274193548,0.591208791,0.14957265,0.448979592,,
0.274193548,0.641758242,0.14957265,0.489795918,,
0.290322581,0.641758242,0.175213675,0.489795918,,
0.290322581,0.657142857,0.175213675,0.510204082,,
0.322580645,0.657142857,0.183760684,0.510204082,,
0.322580645,0.663736264,0.183760684,0.530612245,,
0.338709677,0.663736264,0.207264957,0.530612245,,
0.338709677,0.694505495,0.207264957,0.551020408,,
0.35483871,0.694505495,0.275641026,0.551020408,,
0.35483871,0.720879121,0.275641026,0.571428571,,
0.370967742,0.720879121,0.301282051,0.571428571,,
0.370967742,0.767032967,0.301282051,0.591836735,,
0.387096774,0.767032967,0.305555556,0.591836735,,
0.387096774,0.778021978,0.305555556,0.612244898,,
0.403225806,0.778021978,0.326923077,0.612244898,,
0.403225806,0.817582418,0.326923077,0.673469388,,
0.419354839,0.817582418,0.333333333,0.673469388,,
0.419354839,0.826373626,0.333333333,0.693877551,,
0.435483871,0.826373626,0.393162393,0.693877551,,
0.435483871,0.865934066,0.393162393,0.714285714,,
0.451612903,0.865934066,0.397435897,0.714285714,,
0.451612903,0.868131868,0.397435897,0.734693878,,
0.467741935,0.868131868,0.412393162,0.734693878,,
0.467741935,0.87032967,0.412393162,0.755102041,,
0.483870968,0.87032967,0.431623932,0.755102041,,
0.483870968,0.874725275,0.431623932,0.795918367,,
0.5,0.874725275,0.476495726,0.795918367,,
0.5,0.885714286,0.476495726,0.816326531,,
0.516129032,0.885714286,0.517094017,0.816326531,,
0.516129032,0.905494505,0.517094017,0.836734694,,
0.532258065,0.905494505,0.527777778,0.836734694,,
0.532258065,0.907692308,0.527777778,0.857142857,,
0.548387097,0.907692308,0.540598291,0.857142857,,
0.548387097,0.90989011,0.540598291,0.87755102,,
0.564516129,0.90989011,0.61965812,0.87755102,,
0.564516129,0.912087912,0.61965812,0.897959184,,
0.580645161,0.912087912,0.651709402,0.897959184,,
0.580645161,0.923076923,0.651709402,0.918367347,,
0.596774194,0.923076923,0.722222222,0.918367347,,
0.596774194,0.92967033,0.722222222,0.93877551,,
0.629032258,0.92967033,0.908119658,0.93877551,,
0.629032258,0.936263736,0.908119658,0.959183673,,
0.64516129,0.936263736,0.929487179,0.959183673,,
0.64516129,0.942857143,0.929487179,0.979591837,,
0.677419355,0.942857143,0.963675214,0.979591837,,
0.677419355,0.945054945,0.963675214,1,,
0.693548387,0.945054945,1,1,,
0.693548387,0.947252747,,,,
0.725806452,0.947252747,,,,
0.725806452,0.951648352,,,,
0.758064516,0.951648352,,,,
0.758064516,0.964835165,,,,
0.774193548,0.964835165,,,,
0.774193548,0.967032967,,,,
0.806451613,0.967032967,,,,
0.806451613,0.971428571,,,,
0.838709677,0.971428571,,,,
0.838709677,0.973626374,,,,
0.85483871,0.973626374,,,,
0.85483871,0.978021978,,,,
0.903225806,0.978021978,,,,
0.903225806,0.98021978,,,,
0.919354839,0.98021978,,,,
0.919354839,0.984615385,,,,
0.951612903,0.984615385,,,,
0.951612903,0.989010989,,,,
0.967741935,0.989010989,,,,
0.967741935,0.991208791,,,,
0.983870968,0.991208791,,,,
0.983870968,0.997802198,,,,
1,0.997802198,,,,
1,1,,,,
