FPR,RF-TPR,FPR,ET-TPR,FPR,AdaBoost-TPR,FPR,GBDT-TPR,FPR,XGBoost-TPR,FPR,LightGBM-TPR,FPR,HFS-LightGBM-TPR
0,0,0,0,0,0,0,0.021978022,0,0.014338043,0,0.037362637,0,0.010989011
0.001984127,0.003199314,0.001984127,0.010429593,0.001984127,0,0.001984127,0.021978022,0.001984127,0.014338043,0.002136752,0.044165358,0.001984127,0.010989011
0.003968254,0.006398628,0.003968254,0.046500212,0.002136752,0,0.002136752,0.042386185,0.002136752,0.021140764,0.008547009,0.064573522,0.002136752,0.017791732
0.004273504,0.00689083,0.006410256,0.06722618,0.005952381,0.025641026,0.005952381,0.068027211,0.003968254,0.04678179,0.010683761,0.078178964,0.003968254,0.043432758
0.006410256,0.030744408,0.011904762,0.10657098,0.006410256,0.039246468,0.006410256,0.081632653,0.007936508,0.072422815,0.014957265,0.084981685,0.004273504,0.050235479
0.009920635,0.051305931,0.014957265,0.118567269,0.016129032,0.042909471,0.007936508,0.107273679,0.009920635,0.098063841,0.016129032,0.0996337,0.010683761,0.063840921
0.012820513,0.083281676,0.016129032,0.123731875,0.017857143,0.068550497,0.009920635,0.132914704,0.010683761,0.104866562,0.023504274,0.106436421,0.011904762,0.089481947
0.01984127,0.136153485,0.01984127,0.130735591,0.019230769,0.082155939,0.012820513,0.139717425,0.012820513,0.118472004,0.023809524,0.132077446,0.012820513,0.103087389
0.032258065,0.181522733,0.025641026,0.141677736,0.021367521,0.08895866,0.013888889,0.165358451,0.016129032,0.149241235,0.025793651,0.157718472,0.014957265,0.116692831
0.03968254,0.205671882,0.029761905,0.145516558,0.036324786,0.095761381,0.016129032,0.178545264,0.017857143,0.200523286,0.027777778,0.164521193,0.016129032,0.138670853
0.049145299,0.24169175,0.068376068,0.218451729,0.042735043,0.102564103,0.021825397,0.20418629,0.02991453,0.207326007,0.029761905,0.190162219,0.017094017,0.152276295
0.080645161,0.360284638,0.083333333,0.264929898,0.047008547,0.109366824,0.032258065,0.212244898,0.032258065,0.228571429,0.034188034,0.210570382,0.02991453,0.159079016
