fpr,RF-tpr,fpr,ET-tpr,fpr,AdaBoost-tpr,fpr,GBDT-tpr,fpr,XGBoost-tpr,fpr,LightGBM-tpr,fpr,HFS-LightGBM-tpr
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.032258065,0.156043956,0.016129032,0.151648352,0.016129032,0,0,0.002197802,0,0.002197802,0,0.002197802,0,0.002197802
0.080645161,0.331868132,0.14516129,0.389010989,0.016129032,0.010989011,0,0.065934066,0.016129032,0.002197802,0,0.035164835,0,0.032967033
0.225806452,0.492307692,0.322580645,0.6,0.048387097,0.010989011,0.016129032,0.065934066,0.016129032,0.094505495,0.016129032,0.035164835,0.016129032,0.032967033
0.322580645,0.681318681,0.387096774,0.762637363,0.048387097,0.050549451,0.016129032,0.105494505,0.032258065,0.094505495,0.016129032,0.079120879,0.016129032,0.098901099
0.5,0.804395604,0.516129032,0.857142857,0.064516129,0.050549451,0.032258065,0.105494505,0.032258065,0.158241758,0.048387097,0.079120879,0.032258065,0.098901099
0.596774194,0.903296703,0.725806452,0.923076923,0.064516129,0.087912088,0.032258065,0.12967033,0.048387097,0.158241758,0.048387097,0.120879121,0.032258065,0.118681319
0.774193548,0.945054945,0.85483871,0.96043956,0.080645161,0.087912088,0.048387097,0.12967033,0.048387097,0.210989011,0.064516129,0.120879121,0.048387097,0.118681319
0.903225806,0.975824176,0.935483871,0.978021978,0.080645161,0.118681319,0.048387097,0.204395604,0.064516129,0.210989011,0.064516129,0.173626374,0.048387097,0.184615385
0.983870968,0.986813187,0.967741935,0.995604396,0.112903226,0.118681319,0.064516129,0.204395604,0.064516129,0.237362637,0.080645161,0.173626374,0.064516129,0.184615385
1,1,1,1,0.112903226,0.123076923,0.064516129,0.235164835,0.080645161,0.237362637,0.080645161,0.285714286,0.064516129,0.237362637
,,,,0.129032258,0.123076923,0.080645161,0.235164835,0.080645161,0.250549451,0.096774194,0.285714286,0.080645161,0.237362637
,,,,0.129032258,0.140659341,0.080645161,0.23956044,0.096774194,0.250549451,0.096774194,0.301098901,0.080645161,0.252747253
