fpr,RF-tpr,fpr,ET-tpr,fpr,AdaBoost-tpr,fpr,GBDT-tpr,fpr,XGBoost-tpr,fpr,LightGBM-tpr,fpr,HFS-LightGBM-tpr
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004273504,0,0.006410256,0.040816327,0.002136752,0,0.002136752,0,0,0.020408163,0.002136752,0,0.002136752,0
0.006410256,0.06122449,0.014957265,0.06122449,0.006410256,0,0.002136752,0.06122449,0,0.040816327,0.002136752,0.020408163,0.002136752,0.020408163
0.012820513,0.142857143,0.025641026,0.102040816,0.006410256,0.040816327,0.006410256,0.06122449,0.002136752,0.040816327,0.008547009,0.020408163,0.004273504,0.020408163
0.049145299,0.224489796,0.068376068,0.142857143,0.019230769,0.040816327,0.006410256,0.102040816,0.002136752,0.06122449,0.008547009,0.081632653,0.004273504,0.040816327
0.087606838,0.306122449,0.13034188,0.428571429,0.019230769,0.081632653,0.012820513,0.102040816,0.010683761,0.06122449,0.010683761,0.081632653,0.010683761,0.040816327
0.170940171,0.448979592,0.239316239,0.551020408,0.021367521,0.081632653,0.012820513,0.12244898,0.010683761,0.081632653,0.010683761,0.12244898,0.010683761,0.081632653
0.326923077,0.571428571,0.444444444,0.775510204,0.021367521,0.102040816,0.034188034,0.12244898,0.012820513,0.081632653,0.014957265,0.12244898,0.012820513,0.081632653
0.514957265,0.693877551,0.724358974,0.897959184,0.036324786,0.102040816,0.034188034,0.142857143,0.012820513,0.12244898,0.014957265,0.142857143,0.012820513,0.12244898
0.75,0.93877551,1,1,0.036324786,0.12244898,0.042735043,0.142857143,0.02991453,0.12244898,0.023504274,0.142857143,0.014957265,0.12244898
1,1,,,0.042735043,0.12244898,0.042735043,0.163265306,0.02991453,0.142857143,0.023504274,0.163265306,0.014957265,0.163265306
,,,,0.042735043,0.142857143,0.051282051,0.163265306,0.044871795,0.142857143,0.027777778,0.163265306,0.017094017,0.163265306
,,,,0.047008547,0.142857143,0.051282051,0.183673469,0.044871795,0.204081633,0.027777778,0.183673469,0.017094017,0.204081633
,,,,0.047008547,0.163265306,0.072649573,0.183673469,0.049145299,0.204081633,0.034188034,0.183673469,0.02991453,0.204081633
,,,,0.055555556,0.163265306,0.072649573,0.204081633,0.049145299,0.224489796,0.034188034,0.244897959,0.02991453,0.224489796
,,,,0.055555556,0.183673469,0.074786325,0.204081633,0.053418803,0.224489796,0.038461538,0.244897959,0.034188034,0.224489796
,,,,0.057692308,0.183673469,0.074786325,0.224489796,0.053418803,0.244897959,0.038461538,0.265306122,0.034188034,0.244897959
,,,,0.057692308,0.224489796,0.076923077,0.224489796,0.066239316,0.244897959,0.042735043,0.265306122,0.038461538,0.244897959
,,,,0.091880342,0.224489796,0.076923077,0.244897959,0.066239316,0.265306122,0.042735043,0.285714286,0.038461538,0.265306122
,,,,0.091880342,0.244897959,0.083333333,0.244897959,0.068376068,0.265306122,0.049145299,0.285714286,0.044871795,0.265306122
,,,,0.102564103,0.244897959,0.083333333,0.265306122,0.068376068,0.285714286,0.049145299,0.306122449,0.044871795,0.306122449
,,,,0.102564103,0.265306122,0.091880342,0.265306122,0.072649573,0.285714286,0.05982906,0.306122449,0.064102564,0.306122449
,,,,0.151709402,0.265306122,0.091880342,0.306122449,0.072649573,0.306122449,0.05982906,0.326530612,0.064102564,0.346938776
,,,,0.151709402,0.285714286,0.098290598,0.306122449,0.076923077,0.306122449,0.074786325,0.326530612,0.068376068,0.346938776
,,,,0.155982906,0.285714286,0.098290598,0.346938776,0.076923077,0.326530612,0.074786325,0.346938776,0.068376068,0.387755102
,,,,0.155982906,0.326530612,0.102564103,0.346938776,0.08974359,0.326530612,0.081196581,0.346938776,0.083333333,0.387755102
,,,,0.162393162,0.326530612,0.102564103,0.408163265,0.08974359,0.346938776,0.081196581,0.367346939,0.083333333,0.408163265
,,,,0.162393162,0.346938776,0.126068376,0.408163265,0.096153846,0.346938776,0.111111111,0.367346939,0.121794872,0.408163265
,,,,0.164529915,0.346938776,0.126068376,0.428571429,0.096153846,0.367346939,0.111111111,0.408163265,0.121794872,0.428571429
,,,,0.164529915,0.367346939,0.13034188,0.428571429,0.113247863,0.367346939,0.14957265,0.408163265,0.134615385,0.428571429
,,,,0.166666667,0.367346939,0.13034188,0.448979592,0.113247863,0.408163265,0.14957265,0.428571429,0.134615385,0.448979592
