TPR,HFS-LightGBM-TPR
0,0.010989011
0.001984127,0.010989011
0.002136752,0.017791732
0.003968254,0.043432758
0.004273504,0.050235479
0.010683761,0.063840921
0.011904762,0.089481947
0.012820513,0.103087389
0.014957265,0.116692831
0.016129032,0.138670853
0.017094017,0.152276295
0.02991453,0.159079016
0.032258065,0.165672423
0.033730159,0.191313448
0.034188034,0.19811617
0.035714286,0.223757195
0.038461538,0.230559916
0.044871795,0.244165358
0.048387097,0.26614338
0.064102564,0.279748823
0.064516129,0.29733124
0.067460317,0.348613291
0.068376068,0.362218734
0.080645161,0.367346939
0.083333333,0.399790686
0.096774194,0.431292517
0.10515873,0.456933543
0.112903226,0.470852957
0.121794872,0.477655678
0.129032258,0.484981685
0.134615385,0.491784406
0.14516129,0.503506018
0.14957265,0.51711146
0.156746032,0.542752486
0.161290323,0.550811094
0.175213675,0.557613815
0.177419355,0.564939822
0.183760684,0.571742543
0.193548387,0.57833595
0.207264957,0.585138671
0.209677419,0.60418629
0.241935484,0.611512297
0.273809524,0.637153323
0.274193548,0.65400314
0.275641026,0.660805861
0.290322581,0.665934066
0.301282051,0.672736787
0.305555556,0.679539508
0.322580645,0.68173731
0.326923077,0.702145474
0.333333333,0.708948195
0.338709677,0.719204605
0.35483871,0.727995814
0.370967742,0.743380429
0.380952381,0.769021455
0.387096774,0.772684458
0.393162393,0.779487179
0.397435897,0.786289901
0.403225806,0.799476714
0.412393162,0.806279435
0.419354839,0.809209838
0.431623932,0.82281528
0.435483871,0.836002093
0.451612903,0.836734694
0.467741935,0.837467295
0.476495726,0.844270016
0.483870968,0.845735217
0.5,0.849398221
0.516129032,0.855991627
0.517094017,0.862794349
0.527777778,0.86959707
0.532258065,0.87032967
0.533730159,0.895970696
0.540598291,0.902773417
0.548387097,0.903506018
0.564516129,0.904238619
0.580645161,0.907901622
0.596774194,0.910099424
0.61965812,0.916902145
0.629032258,0.919099948
0.64516129,0.92129775
0.651709402,0.928100471
0.677419355,0.928833072
0.693548387,0.929565672
0.712301587,0.955206698
0.722222222,0.962009419
0.725806452,0.963474621
0.758064516,0.967870225
0.774193548,0.968602826
0.806451613,0.970068027
0.838709677,0.970800628
0.85483871,0.972265829
0.903225806,0.97299843
0.908119658,0.979801151
0.919354839,0.981266353
0.929487179,0.988069074
0.951612903,0.989534275
0.963675214,0.996336996
0.967741935,0.997069597
0.983870968,0.999267399
1,1
