TPR,LightGBM-TPR
0,0.037362637
0.002136752,0.044165358
0.008547009,0.064573522
0.010683761,0.078178964
0.014957265,0.084981685
0.016129032,0.0996337
0.023504274,0.106436421
0.023809524,0.132077446
0.025793651,0.157718472
0.027777778,0.164521193
0.029761905,0.190162219
0.034188034,0.210570382
0.038461538,0.217373103
0.03968254,0.243014129
0.042735043,0.24981685
0.048387097,0.263736264
0.049145299,0.270538985
0.05982906,0.277341706
0.064516129,0.294924123
0.06547619,0.320565149
0.074786325,0.32736787
0.080645161,0.364730508
0.081196581,0.371533229
0.087301587,0.397174254
0.096774194,0.402302459
0.111111111,0.415907902
0.112903226,0.422501308
0.123015873,0.448142334
0.129032258,0.452537938
0.14516129,0.473783359
0.14957265,0.480586081
0.151709402,0.487388802
0.16025641,0.494191523
0.161290323,0.510308739
0.177419355,0.526425955
0.179487179,0.533228676
0.193548387,0.53762428
0.194444444,0.544427002
0.205128205,0.551229723
0.207264957,0.558032444
0.209677419,0.567556253
0.213675214,0.574358974
0.225806452,0.578754579
0.226190476,0.604395604
0.226495726,0.618001047
0.235042735,0.624803768
0.241935484,0.62700157
0.245726496,0.633804291
0.258064516,0.652119309
0.274193548,0.654317111
0.290322581,0.658712716
0.306451613,0.677760335
0.317460317,0.703401361
0.322580645,0.705599163
0.338709677,0.709262166
0.346153846,0.716064887
0.35483871,0.719727891
0.370967742,0.735112507
0.382478632,0.741915228
0.387096774,0.752904239
0.393162393,0.766509681
0.416666667,0.773312402
0.419354839,0.776975406
0.435483871,0.792360021
0.44017094,0.799162742
0.442460317,0.824803768
0.451612903,0.832129775
0.467741935,0.832862376
0.476495726,0.839665097
0.483870968,0.840397698
0.497863248,0.847200419
0.5,0.850130822
0.516129032,0.850863422
0.532258065,0.852328624
0.548387097,0.854526426
0.553418803,0.861329147
0.564516129,0.866457352
0.580645161,0.868655154
0.583333333,0.875457875
0.629032258,0.876190476
0.636752137,0.882993197
0.64516129,0.887388802
0.677419355,0.888121402
0.693548387,0.888854003
0.696581197,0.895656724
0.725806452,0.900052329
0.741935484,0.900784929
0.755952381,0.926425955
0.756410256,0.933228676
0.758064516,0.933961277
0.774193548,0.936159079
0.799145299,0.9429618
0.806451613,0.945159602
0.845238095,0.970800628
0.85483871,0.972265829
0.870967742,0.97299843
0.903225806,0.973731031
0.925213675,0.987336473
0.935483871,0.988801675
0.951612903,0.990999477
0.959401709,0.997802198
0.967741935,0.998534799
0.983870968,0.999267399
1,1
