,0
0,0.0
1,0.002136752136752137
2,0.008547008547008548
3,0.010683760683760684
4,0.014957264957264958
5,0.016129032258064516
6,0.023504273504273504
7,0.023809523809523808
8,0.025793650793650792
9,0.027777777777777776
10,0.02976190476190476
11,0.03418803418803419
12,0.038461538461538464
13,0.03968253968253968
14,0.042735042735042736
15,0.04838709677419355
16,0.049145299145299144
17,0.05982905982905983
18,0.06451612903225806
19,0.06547619047619048
20,0.07478632478632478
21,0.08064516129032258
22,0.0811965811965812
23,0.0873015873015873
24,0.0967741935483871
25,0.1111111111111111
26,0.11290322580645161
27,0.12301587301587301
28,0.12903225806451613
29,0.14516129032258066
30,0.14957264957264957
31,0.1517094017094017
32,0.16025641025641027
33,0.16129032258064516
34,0.1774193548387097
35,0.1794871794871795
36,0.1935483870967742
37,0.19444444444444445
38,0.20512820512820512
39,0.20726495726495728
40,0.20967741935483872
41,0.21367521367521367
42,0.22580645161290322
43,0.2261904761904762
44,0.2264957264957265
45,0.23504273504273504
46,0.24193548387096775
47,0.24572649572649571
48,0.25806451612903225
49,0.27419354838709675
50,0.2903225806451613
51,0.3064516129032258
52,0.31746031746031744
53,0.3225806451612903
54,0.3387096774193548
55,0.34615384615384615
56,0.3548387096774194
57,0.3709677419354839
58,0.38247863247863245
59,0.3870967741935484
60,0.39316239316239315
61,0.4166666666666667
62,0.41935483870967744
63,0.43548387096774194
64,0.44017094017094016
65,0.44246031746031744
66,0.45161290322580644
67,0.46774193548387094
68,0.47649572649572647
69,0.4838709677419355
70,0.49786324786324787
71,0.5
72,0.5161290322580645
73,0.532258064516129
74,0.5483870967741935
75,0.5534188034188035
76,0.5645161290322581
77,0.5806451612903226
78,0.5833333333333334
79,0.6290322580645161
80,0.6367521367521367
81,0.6451612903225806
82,0.6774193548387096
83,0.6935483870967742
84,0.6965811965811965
85,0.7258064516129032
86,0.7419354838709677
87,0.7559523809523809
88,0.7564102564102564
89,0.7580645161290323
90,0.7741935483870968
91,0.7991452991452992
92,0.8064516129032258
93,0.8452380952380952
94,0.8548387096774194
95,0.8709677419354839
96,0.9032258064516129
97,0.9252136752136753
98,0.9354838709677419
99,0.9516129032258065
100,0.9594017094017094
101,0.967741935483871
102,0.9838709677419355
103,1.0
