FPR,RF-TPR
0,0
0.001984127,0.003199314
0.003968254,0.006398628
0.004273504,0.00689083
0.006410256,0.030744408
0.009920635,0.051305931
0.012820513,0.083281676
0.01984127,0.136153485
0.032258065,0.181522733
0.03968254,0.205671882
0.049145299,0.24169175
0.080645161,0.360284638
0.081349206,0.362341895
0.087606838,0.370378799
0.170940171,0.466068971
0.204365079,0.494096602
0.225806452,0.515357293
0.322580645,0.63866642
0.326923077,0.642376558
0.488095238,0.772891961
0.5,0.77942152
0.514957265,0.789262007
0.596774194,0.853745861
0.75,0.934333994
0.774193548,0.940630762
0.903225806,0.974346726
0.983870968,0.992671951
1,1
