,0
0,0.0
1,0.001984126984126984
2,0.003968253968253968
3,0.004273504273504274
4,0.00641025641025641
5,0.00992063492063492
6,0.01282051282051282
7,0.01984126984126984
8,0.03225806451612903
9,0.03968253968253968
10,0.049145299145299144
11,0.08064516129032258
12,0.08134920634920635
13,0.0876068376068376
14,0.17094017094017094
15,0.20436507936507936
16,0.22580645161290322
17,0.3225806451612903
18,0.3269230769230769
19,0.4880952380952381
20,0.5
21,0.5149572649572649
22,0.5967741935483871
23,0.75
24,0.7741935483870968
25,0.9032258064516129
26,0.9838709677419355
27,1.0
