FPR,XGBoost-TPR
0,0.014338043
0.001984127,0.014338043
0.002136752,0.021140764
0.003968254,0.04678179
0.007936508,0.072422815
0.009920635,0.098063841
0.010683761,0.104866562
0.012820513,0.118472004
0.016129032,0.149241235
0.017857143,0.200523286
0.02991453,0.207326007
0.032258065,0.228571429
0.041666667,0.254212454
0.044871795,0.274620617
0.048387097,0.292203035
0.049145299,0.299005756
0.053418803,0.305808477
0.064516129,0.314599686
0.066239316,0.321402407
0.068376068,0.328205128
0.072649573,0.335007849
0.076923077,0.34181057
0.080645161,0.346206175
0.08974359,0.353008896
0.093253968,0.378649922
0.096153846,0.385452643
0.096774194,0.398639456
0.10515873,0.424280481
0.112903226,0.441130298
0.113247863,0.45473574
0.115079365,0.480376766
0.115384615,0.487179487
0.126068376,0.500784929
0.129032258,0.505180534
0.14516129,0.520565149
0.147435897,0.52736787
0.155982906,0.534170591
0.161290323,0.55321821
0.170940171,0.560020931
0.177419355,0.564416536
0.193548387,0.570277342
0.209677419,0.596650968
0.213675214,0.603453689
0.224358974,0.61025641
0.225806452,0.613186813
0.228632479,0.619989534
0.241935484,0.629513344
0.243589744,0.636316065
0.258064516,0.637048666
0.267094017,0.643851387
0.290322581,0.654840398
0.292735043,0.661643119
0.306451613,0.680690738
0.314102564,0.687493459
0.322580645,0.71899529
0.338709677,0.721193093
0.35483871,0.727053898
0.370967742,0.730716902
0.387096774,0.735112507
0.401709402,0.741915228
0.403225806,0.742647828
0.419354839,0.743380429
0.424603175,0.769021455
0.435483871,0.769754055
0.44017094,0.776556777
0.46031746,0.802197802
0.474358974,0.809000523
0.483870968,0.814128728
0.508547009,0.82093145
0.516129032,0.82166405
0.523504274,0.828466771
0.52991453,0.835269492
0.538461538,0.842072214
0.548387097,0.843537415
0.551282051,0.850340136
0.564516129,0.855468341
0.580645161,0.856200942
0.591269841,0.881841968
0.596774194,0.883307169
0.602564103,0.89010989
0.612903226,0.895238095
0.629032258,0.895970696
0.638888889,0.921611722
0.64516129,0.923076923
0.661290323,0.927472527
0.662393162,0.934275249
0.677419355,0.935007849
0.693548387,0.936473051
0.705128205,0.943275772
0.741935484,0.944008373
0.774193548,0.945473574
0.788461538,0.952276295
0.806451613,0.955206698
0.822580645,0.955939299
0.838709677,0.959602302
0.85483871,0.961067504
0.870967742,0.96692831
0.878205128,0.973731031
0.887096774,0.974463632
0.893162393,0.981266353
0.903225806,0.983464155
0.919354839,0.984196756
0.951612903,0.984929356
0.952991453,0.991732077
0.974358974,0.998534799
0.983870968,1
1,1
